runtime,MPCP
0,0.024265
0.1,0.021605
0.2,0.03904
0.3,0.04197
0.4,0.08121
0.5,0.170705
0.6,0.190465
0.7,0.17967
0.8,0.0926
0.9,0.05321
1,0
