runtime,MPCP
0,0.01999
0.1,0.017145
0.2,0.02871
0.3,0.04684
0.4,0.07226
0.5,0.10498
0.6,0.127175
0.7,0.14889
0.8,0.082425
0.9,0.049445
1,0
