runtime,MPCP
0,0.02408
0.1,0.023665
0.2,0.032745
0.3,0.041865
0.4,0.082645
0.5,0.141105
0.6,0.158675
0.7,0.19703
0.8,0.115255
0.9,0.07276
1,0
